codigo_ocorrencia2;aeronave_matricula;aeronave_tipo_equipamento;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;anv_motor_qtd;anv_motor_descricao_qtd;aeronave_pmd;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
79759;PRTKL;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A;AT72;TURBOÉLICE;2;BIMOTOR;22800;73;2012;BRASIL;BRASIL;SALGADO FILHO;CATARATAS;CRUZEIRO;REGULAR;NENHUM;0
79758;PRJGC;HELICÓPTERO;EUROCOPTER;EC 135P2+;EC35;TURBOEIXO;2;BIMOTOR;2910;7;2009;BRASIL;BRASIL;CONDOMÍNIO LARANJEIRAS;CAMPO DE MARTE - SP;CRUZEIRO;TÁXI AÉREO;LEVE;0
79757;PTGZR;AVIÃO;NEIVA;EMB-201A;IPAN;PISTÃO;1;MONOMOTOR;1800;1;1984;BRASIL;BRASIL;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;AGRÍCOLA;LEVE;0
79756;PTGUP;AVIÃO;NEIVA;EMB-201A;IPAN;PISTÃO;1;MONOMOTOR;1800;1;1980;BRASIL;BRASIL;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;AGRÍCOLA;LEVE;0
79755;PTKCK;AVIÃO;CESSNA AIRCRAFT;177B;C177;PISTÃO;1;MONOMOTOR;1334;4;1974;BRASIL;BRASIL;MANOEL RIBAS;MUNICIPAL DE GUARATUBA;CRUZEIRO;PRIVADA;DESTRUÍDA;4
79754;PTBYA;AVIÃO;EMBRAER;EMB-203;IPAN;PISTÃO;1;MONOMOTOR;1900;1;2016;BRASIL;BRASIL;NÃO IDENTIFICADO;FORA DE AERODROMO;CORRIDA APÓS POUSO;PRIVADA;LEVE;0
79753;PTUPT;AVIÃO;NEIVA;EMB-202;IPAN;PISTÃO;1;MONOMOTOR;1800;1;2003;BRASIL;BRASIL;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;ESPECIALIZADA;LEVE;0
79752;PREOB;AVIÃO;CESSNA AIRCRAFT;525;C525;JATO;2;BIMOTOR;4808;8;2002;BRASIL;BRASIL;CIPÓ;DEPUTADO LUÍS EDUARDO MAGALHÃES;DESCIDA;PRIVADA;LEVE;0
79751;*****;***;DESCONHECIDO;MODELO DESCONHECIDO;***;DESCONHECIDO;DESCONHECIDO;***;0;NULL;NULL;BRASIL;BRASIL;POUSADA DAS ÁGUIAS;POUSADA DAS ÁGUIAS;DECOLAGEM;PRIVADA;SUBSTANCIAL;0
79750;PRBVT;AVIÃO;PIPER AIRCRAFT;PA-31T1;PAY1;TURBOÉLICE;2;BIMOTOR;3946;7;1979;BRASIL;BRASIL;SANTA GENOVEVA/GOIÂNIA;AERÓDROMO NACIONAL DE AVIAÇÃO;CORRIDA APÓS POUSO;PRIVADA;LEVE;0
79749;PTNPF;AVIÃO;NEIVA;EMB-711C;P28R;PISTÃO;1;MONOMOTOR;1202;4;1977;BRASIL;BRASIL;BELÉM/BRIGADEIRO PROTÁSIO DE OLIVEIRA;BELÉM/BRIGADEIRO PROTÁSIO DE OLIVEIRA;CRUZEIRO;PRIVADA;SUBSTANCIAL;0
